ID,created,created_date.local,created_time.local,pin_start_date.local,pin_start_time.local,pin_end_date.local,pin_end_time.local,study_code,group_name,cage_name,creator,contents,reply_to,hashtags
23827,2024-06-10 14:09:16.283000+00:00,2024-06-10,09:09:16.283000,2024-06-10,06:06:22,,,GEN3Bridge,Vehicle,A1,Marie Curie,Cage removed for ear tag placement,,
23828,2024-06-10 14:10:21.991000+00:00,2024-06-10,09:10:21.991000,2024-06-10,06:06:31,,,GEN3Bridge,Vehicle,B1,Marie Curie,cage removed for ear tag placement,,
23829,2024-06-10 14:11:18.352000+00:00,2024-06-10,09:11:18.352000,2024-06-10,06:06:37,,,GEN3Bridge,Caffeine 16 mpk,C1,Marie Curie,cage removed for ear tag placement,,
23830,2024-06-10 14:12:50.542000+00:00,2024-06-10,09:12:50.542000,2024-06-10,06:07:05,,,GEN3Bridge,Caffeine 16 mpk,A2,Marie Curie,cage removed for ear tag placement,,
23831,2024-06-10 14:13:27.321000+00:00,2024-06-10,09:13:27.321000,2024-06-10,06:07:10,,,GEN3Bridge,Vehicle,C2,Marie Curie,cage removed for ear tag placement,,
23832,2024-06-10 14:14:14.641000+00:00,2024-06-10,09:14:14.641000,2024-06-10,06:07:26,,,GEN3Bridge,Caffeine 16 mpk,A3,Marie Curie,cage removed for ear tag placement,,
23833,2024-06-10 14:15:07.966000+00:00,2024-06-10,09:15:07.966000,2024-06-10,06:07:31,,,GEN3Bridge,Caffeine 16 mpk,B3,Marie Curie,cage removed for ear tag placement,,
23834,2024-06-10 14:16:05.955000+00:00,2024-06-10,09:16:05.955000,2024-06-10,06:07:36,,,GEN3Bridge,Vehicle,C3,Marie Curie,cage removed for ear tag placement,,
23835,2024-06-10 14:17:26.813000+00:00,2024-06-10,09:17:26.813000,2024-06-10,06:57:11,,,GEN3Bridge,Vehicle,A1,Marie Curie,"cage inserted after ear tag placement
",,
23836,2024-06-10 14:18:16.108000+00:00,2024-06-10,09:18:16.108000,2024-06-10,06:57:21,,,GEN3Bridge,Vehicle,B1,Marie Curie,cage inserted after ear tag placement,,
23837,2024-06-10 14:19:10.645000+00:00,2024-06-10,09:19:10.645000,2024-06-10,06:57:29,,,GEN3Bridge,Caffeine 16 mpk,C1,Marie Curie,cage inserted after ear tag placement,,
23838,2024-06-10 14:20:01.443000+00:00,2024-06-10,09:20:01.443000,2024-06-10,06:57:42,,,GEN3Bridge,Caffeine 16 mpk,A2,Marie Curie,cage inserted after ear tag placement,,
23839,2024-06-10 14:21:24.483000+00:00,2024-06-10,09:21:24.483000,2024-06-10,06:57:51,,,GEN3Bridge,Vehicle,C2,Marie Curie,cage inserted after ear tag placement,,
23840,2024-06-10 14:22:19.637000+00:00,2024-06-10,09:22:19.637000,2024-06-10,06:58:00,,,GEN3Bridge,Caffeine 16 mpk,A3,Marie Curie,cage inserted after ear tag placement,,
23841,2024-06-10 14:22:56.159000+00:00,2024-06-10,09:22:56.159000,2024-06-10,06:58:06,,,GEN3Bridge,Caffeine 16 mpk,B3,Marie Curie,cage inserted after ear tag placement,,
23842,2024-06-10 14:23:34.126000+00:00,2024-06-10,09:23:34.126000,2024-06-10,06:58:14,,,GEN3Bridge,Vehicle,C3,Marie Curie,cage inserted after ear tag placement,,
23843,2024-06-17 13:35:13.629000+00:00,2024-06-17,08:35:13.629000,2024-06-17,06:08:06,,,GEN3Bridge,Vehicle,A1,Marie Curie,cage removed for cage change and dosing - vehicle,,
23844,2024-06-17 13:35:54.765000+00:00,2024-06-17,08:35:54.765000,2024-06-17,06:08:09,,,GEN3Bridge,Vehicle,B1,Marie Curie,cage removed for cage change and dosing - vehicle,,
23845,2024-06-17 13:36:32.976000+00:00,2024-06-17,08:36:32.976000,2024-06-17,06:08:14,,,GEN3Bridge,Caffeine 16 mpk,C1,Marie Curie,cage removed for cage change and dosing - caffeine 16 mg/kg,,
23846,2024-06-17 13:37:23.607000+00:00,2024-06-17,08:37:23.607000,2024-06-17,06:08:22,,,GEN3Bridge,Caffeine 16 mpk,A2,Marie Curie,cage removed for cage change and dosing - caffeine 16 mg/kg,,
23847,2024-06-17 13:38:01.908000+00:00,2024-06-17,08:38:01.908000,2024-06-17,06:08:26,,,GEN3Bridge,Vehicle,C2,Marie Curie,cage removed for cage change and dosing - vehicle,,
23848,2024-06-17 13:38:53.587000+00:00,2024-06-17,08:38:53.587000,2024-06-17,06:08:31,,,GEN3Bridge,Caffeine 16 mpk,A3,Marie Curie,cage removed for cage change and dosing - caffeine 16 mg/kg,,
23849,2024-06-17 13:39:46.490000+00:00,2024-06-17,08:39:46.490000,2024-06-17,06:08:36,,,GEN3Bridge,Caffeine 16 mpk,B3,Marie Curie,cage removed for cage change and dosing - caffeine 16 mg/kg,,
23850,2024-06-17 13:40:39.949000+00:00,2024-06-17,08:40:39.949000,2024-06-17,06:08:41,,,GEN3Bridge,Vehicle,C3,Marie Curie,cage removed for cage change and dosing - vehicle,,
23851,2024-06-21 14:11:11.498000+00:00,2024-06-21,09:11:11.498000,2024-06-20,16:56:29,,,GEN3Bridge,Vehicle,A1,Marie Curie,cage removed for dosing - vehicle,,
23852,2024-06-21 14:13:05.657000+00:00,2024-06-21,09:13:05.657000,2024-06-20,16:57:35,,,GEN3Bridge,Vehicle,A1,Marie Curie,cage inserted after dosing - vehicle,,
23853,2024-06-21 14:13:52.206000+00:00,2024-06-21,09:13:52.206000,2024-06-20,16:57:38,,,GEN3Bridge,Vehicle,B1,Marie Curie,cage removed for dosing - vehicle,,
23854,2024-06-21 14:14:31.481000+00:00,2024-06-21,09:14:31.481000,2024-06-20,16:59:07,,,GEN3Bridge,Vehicle,B1,Marie Curie,cage inserted after dosing - vehicle,,
23855,2024-06-21 14:15:52.313000+00:00,2024-06-21,09:15:52.313000,2024-06-20,16:59:13,,,GEN3Bridge,Vehicle,C2,Marie Curie,cage removed for dosing - vehicle,,
23856,2024-06-21 14:17:03.392000+00:00,2024-06-21,09:17:03.392000,2024-06-20,17:01:18,,,GEN3Bridge,Vehicle,C2,Marie Curie,cage inserted after dosing - vehicle,,
23857,2024-06-21 14:18:01.288000+00:00,2024-06-21,09:18:01.288000,2024-06-20,17:01:21,,,GEN3Bridge,Vehicle,C3,Marie Curie,cage removed for dosing - vehicle,,
23858,2024-06-21 14:18:53.664000+00:00,2024-06-21,09:18:53.664000,2024-06-20,17:02:50,,,GEN3Bridge,Vehicle,C3,Marie Curie,cage inserted after dosing - vehicle,,
